BANKID,CUSTOMERID,PRODUCT,isActive,Gender,DOB,PINCODE,isFirst,Phone,OnboardingDate,DeactivationDate
C6127703169,C-1955152,C,1,F,2021-10-31,895047,1,6127703169,2025-07-27,
C6122795659,C-1145848,C,1,M,1977-03-24,280316,1,6122795659,1985-07-11,
C6120827224,C-4748727,C,0,M,2012-06-04,677324,1,6120827224,2017-11-12,2018-09-30
G6115833436,C-5555747,C,1,F,2016-11-20,641227,0,6115833436,2021-11-18,
C6105843921,C-6687882,C,1,M,1979-03-06,169224,1,6105843921,2010-03-25,
C6103824922,C-5920877,C,1,F,1959-09-13,656241,1,6103824922,1980-05-17,
C6103372437,C-8204612,C,1,F,1951-12-16,488049,1,6103372437,2015-07-20,
O6101272958,C-7261020,C,1,M,1988-01-03,986085,0,6101272958,2022-03-14,
C6096273051,C-1823332,C,1,F,2012-07-12,457673,1,6096273051,2014-12-09,
C6095456554,C-7369993,C,1,F,1985-05-26,602977,1,6095456554,2011-12-22,
C6095159144,C-5331113,C,1,M,1969-01-14,636444,1,6095159144,2015-09-16,
C6093951265,C-2411321,C,1,M,2012-02-19,677520,1,6093951265,2016-04-07,
C6093596954,C-6015501,C,1,M,1974-11-10,496753,1,6093596954,1995-12-31,
C6089882076,C-3984884,C,1,F,1996-05-13,609863,1,6089882076,2001-07-13,
C6086648454,C-4608558,C,1,F,2000-05-12,756210,1,6086648454,2005-10-27,
C6086308498,C-6547974,C,1,F,2022-12-05,369286,1,6086308498,2024-03-03,
C6085712457,C-8263782,C,1,F,1987-08-01,904659,1,6085712457,2021-02-17,
C6084529384,C-6810659,C,1,M,1974-03-24,469664,1,6084529384,1995-10-27,
C6083704971,C-4587646,C,1,M,1978-01-21,115764,1,6083704971,2011-03-01,
C6081141461,C-7217432,C,1,M,1987-10-11,795755,1,6081141461,1991-04-06,
C6080485304,C-4650712,C,1,F,1977-12-14,542925,1,6080485304,1980-03-09,
B6075113576,C-8905435,C,1,F,1969-08-01,897957,0,6075113576,1993-07-13,
C6063019425,C-4738358,C,1,M,1993-01-11,731715,1,6063019425,2001-12-03,
C6060572314,C-3215607,C,1,M,1975-08-12,750941,1,6060572314,2018-08-30,
P6058770127,C-7791422,C,1,M,1980-04-23,546584,0,6058770127,1993-01-21,
C6053689120,C-8057608,C,1,F,1971-06-03,122334,1,6053689120,1982-04-12,
C6052632967,C-8767004,C,1,M,1964-11-09,721125,1,6052632967,2001-08-19,
C6046899561,C-7288656,C,1,F,1977-07-26,310316,1,6046899561,2009-06-23,
C6046242646,C-8181355,C,1,F,1992-12-01,717370,1,6046242646,1999-01-18,
C6045712263,C-1367786,C,1,M,1962-02-12,652056,1,6045712263,2008-05-04,
C6033331536,C-8581942,C,1,F,1959-09-27,453096,1,6033331536,1989-12-12,
C6029713835,C-6678371,C,1,M,2014-10-13,263382,1,6029713835,2015-12-14,
C6027741708,C-6878454,C,1,F,1981-12-11,290494,1,6027741708,2008-04-01,
C6024254873,C-3340185,C,1,M,1989-06-01,531137,1,6024254873,1991-06-29,
C6023024290,C-3561631,C,1,M,1978-07-14,905966,1,6023024290,1996-01-26,
C6022874308,C-1700373,C,1,M,2015-08-01,664174,1,6022874308,2018-11-06,
C6020690619,C-7388578,C,1,F,2019-12-21,686849,1,6020690619,2023-05-08,
C6019115930,C-4923483,C,1,M,2007-12-16,562433,1,6019115930,2009-01-21,
C6016030374,C-3315622,C,1,M,2001-12-29,842660,1,6016030374,2004-09-20,
C6013397725,C-9746916,C,1,F,2022-05-19,320004,1,6013397725,2023-05-27,
C6010666678,C-3255466,C,1,M,1953-08-07,509420,1,6010666678,1999-11-29,
C6007484331,C-1825820,C,1,M,2022-07-12,536361,1,6007484331,2024-07-13,
C6007295960,C-6364190,C,1,M,1990-06-03,133697,1,6007295960,2014-01-07,
C6000933360,C-1778612,C,1,M,1971-11-11,258554,1,6000933360,1990-05-23,
N6000458152,C-1949852,C,1,M,1977-11-27,141116,0,6000458152,1999-05-02,
C5997482316,C-8976929,C,1,F,1998-10-29,746248,1,5997482316,2002-02-17,
C5994918941,C-6046719,C,1,F,1983-06-30,516342,1,5994918941,1991-07-20,
C5993765645,C-5572403,C,1,F,2011-03-04,980856,1,5993765645,2016-04-03,
C5993231426,C-9940700,C,0,F,1972-08-16,881817,1,5993231426,2005-10-10,2007-08-28
C5985616950,C-4375708,C,1,F,1962-02-11,751165,1,5985616950,2017-04-27,
C5982335167,C-6542896,C,1,F,1958-01-14,486858,1,5982335167,2019-12-10,
C5979618318,C-6052459,C,0,M,1997-11-21,451814,1,5979618318,2005-04-21,2007-11-03
C5978744919,C-3564800,C,1,F,2018-03-22,864829,1,5978744919,2020-09-25,
H5975412535,C-5213384,C,1,M,1982-06-27,380867,0,5975412535,1983-10-18,
C5969153206,C-2022728,C,1,M,1957-09-05,989208,1,5969153206,2007-05-07,
C5967734360,C-1499572,C,1,F,2020-04-06,291188,1,5967734360,2022-01-29,
C5965067951,C-6200320,C,1,F,1969-02-24,899200,1,5965067951,1987-12-13,
C5964738015,C-2432872,C,1,M,1967-01-26,428446,1,5964738015,1997-09-04,
P5964493300,C-6345138,C,1,F,2021-05-13,704770,0,5964493300,2022-11-26,
C5956308485,C-9035873,C,1,M,1977-12-06,203370,1,5956308485,2009-08-05,
N5955768451,C-7127582,C,1,F,2022-05-08,746644,0,5955768451,2025-07-05,
C5954782103,C-4961999,C,1,F,1979-06-13,819532,1,5954782103,2017-12-26,
N5953952179,C-4564317,C,1,F,2008-06-10,700945,0,5953952179,2012-08-17,
C5951792840,C-9082344,C,1,M,2004-11-26,335953,1,5951792840,2006-04-23,
C5941887393,C-6066632,C,1,M,1956-06-19,307297,1,5941887393,2007-03-28,
C5940279308,C-5330310,C,1,M,1994-09-09,522678,1,5940279308,2014-05-13,
C5936142402,C-4247887,C,1,F,1971-05-15,412338,1,5936142402,2019-10-02,
G5927835117,C-2047290,C,1,M,1987-06-14,676412,0,5927835117,1989-04-29,
C5925187364,C-2092629,C,1,M,2013-09-23,606374,1,5925187364,2017-02-03,
C5924098173,C-3158895,C,1,M,2000-11-28,368292,1,5924098173,2001-11-16,
E5923407403,C-5992410,C,0,M,1989-07-05,402938,0,5923407403,1990-06-07,1991-06-06
C5917307451,C-7389418,C,1,F,2013-05-29,722278,1,5917307451,2016-02-01,
C5912146453,C-4129825,C,0,M,1983-06-10,193215,1,5912146453,1990-08-14,1991-06-29
C5903384283,C-4136373,C,1,F,1956-01-22,444136,1,5903384283,1982-10-11,
C5901214640,C-9922413,C,0,M,1979-05-03,297233,1,5901214640,2014-11-29,2017-08-14
P5896701827,C-4257479,C,1,F,1988-04-22,949037,0,5896701827,1998-01-17,
C5894270191,C-6899125,C,0,F,1985-06-16,597725,1,5894270191,2015-11-12,2016-05-17
C5888259705,C-2426252,C,1,F,1987-09-10,749158,1,5888259705,1993-06-24,
C5886771198,C-1165697,C,1,M,1958-11-29,534227,1,5886771198,2004-06-10,
C5885905434,C-8708768,C,1,F,1979-09-10,384529,1,5885905434,1980-11-22,
C5882453546,C-3951831,C,1,M,1971-12-31,573296,1,5882453546,1983-12-16,
C5880343860,C-5231065,C,1,M,1957-06-16,155254,1,5880343860,2018-01-11,
C5879553088,C-1141629,C,1,M,1983-01-12,541254,1,5879553088,1988-02-10,
C5878206890,C-2089790,C,1,F,2021-02-14,262628,1,5878206890,2025-10-05,
C5875857375,C-1253560,C,1,F,1973-08-11,311568,1,5875857375,2006-09-06,
C5869742360,C-3779704,C,1,F,1952-09-03,526715,1,5869742360,1992-06-07,
C5869232233,C-4851853,C,1,M,2022-09-25,118234,1,5869232233,2023-10-17,
C5867167579,C-1791524,C,1,M,1984-04-16,581169,1,5867167579,2011-01-08,
O5863883409,C-2409600,C,1,M,1997-06-26,623067,0,5863883409,2002-11-13,
C5857603740,C-6491707,C,1,F,1993-12-28,976278,1,5857603740,2017-02-08,
C5851571865,C-2656531,C,1,F,1972-07-06,851532,1,5851571865,2013-10-17,
C5851255848,C-5457375,C,1,F,1950-09-15,418654,1,5851255848,2023-03-12,
C5847739978,C-5721023,C,1,M,1950-02-21,301272,1,5847739978,2023-03-01,
C5843494872,C-3355206,C,1,F,1986-03-18,867495,1,5843494872,1989-12-20,
C5839422962,C-2452515,C,1,M,1997-08-22,939247,1,5839422962,2010-06-28,
F5837466170,C-5549711,C,1,M,1900-01-01,584463,0,5837466170,2010-01-26,
I5835846246,C-3619667,C,1,M,1998-11-22,494529,0,5835846246,2002-02-06,
C5832368226,C-7821947,C,1,F,1900-01-01,772331,1,5832368226,1982-01-20,
C5828951081,C-7976444,C,1,M,1995-03-01,631618,1,5828951081,2014-11-05,
C5824996818,C-1573371,C,1,F,2014-10-19,947904,1,5824996818,2018-09-21,
C5820047892,C-6697052,C,1,M,1987-02-15,522791,1,5820047892,1995-03-08,
C5814923295,C-1180849,C,1,F,1984-01-03,993890,1,5814923295,2010-08-22,
C5811736860,C-3559049,C,1,M,2012-06-06,135331,1,5811736860,2016-07-18,
C5809667370,C-2998715,C,1,F,1996-03-10,195228,1,5809667370,2004-11-08,
C5807371432,C-4150209,C,1,F,1968-12-16,361685,1,5807371432,2023-03-16,
C5806787579,C-6776201,C,1,M,2016-09-04,978828,1,5806787579,2019-03-13,
C5805766510,C-9119141,C,0,M,1957-10-11,589116,1,5805766510,2022-12-15,2023-04-13
C5802907730,C-3127161,C,1,M,1959-10-18,677033,1,5802907730,2018-06-01,
C5802012957,C-2558554,C,1,M,1991-09-15,946695,1,5802012957,2021-04-30,
N5801552470,C-6668501,C,1,F,2003-05-25,331755,0,5801552470,2009-10-28,
C5800440743,C-4268222,C,0,M,2016-01-03,342003,1,5800440743,2021-03-20,2023-04-13
C5800278875,C-3414479,C,1,M,2023-01-08,678969,1,5800278875,2026-09-18,
C5799064589,C-2332666,C,1,F,2002-08-18,208226,1,5799064589,2003-09-08,
C5788787954,C-8769285,C,1,M,1983-03-22,812103,1,5788787954,2010-04-02,
C5787024545,C-5010280,C,1,F,1999-08-12,530475,1,5787024545,2023-02-21,
C5781878850,C-8108832,C,1,M,1983-01-21,293554,1,5781878850,2009-03-07,
C5777827529,C-6790342,C,1,F,1975-07-27,363676,1,5777827529,2010-03-08,
C5774665242,C-7182446,C,1,M,2006-05-26,673631,1,5774665242,2008-06-10,
C5771990671,C-6381307,C,1,F,1996-01-30,357623,1,5771990671,2008-06-11,
C5769187168,C-8436546,C,0,M,2019-03-29,238507,1,5769187168,2020-03-28,2022-10-16
C5767925273,C-6683925,C,1,M,2000-09-09,167455,1,5767925273,2004-11-12,
C5767103621,C-2379823,C,1,F,2005-11-08,987605,1,5767103621,2009-06-18,
C5766342339,C-8839775,C,0,M,2012-02-07,994628,1,5766342339,2017-06-14,2019-01-25
C5765623926,C-5164867,C,1,F,1992-07-28,425844,1,5765623926,1997-01-06,
C5761772434,C-9658039,C,1,F,1962-07-10,195100,1,5761772434,2004-11-30,
C5759218699,C-6095014,C,1,F,1995-12-15,950484,1,5759218699,2001-04-01,
P5753094874,C-7654733,C,1,M,2003-07-13,636115,0,5753094874,2016-09-14,
C5752993587,C-2905945,C,1,M,2003-06-30,781737,1,5752993587,2021-08-06,
C5752993587,C-6169332,C,1,M,2003-06-30,115820,0,5752993587,2010-06-04,
C5751887556,C-4534206,C,1,F,2006-12-30,932400,1,5751887556,2017-09-12,
C5745777017,C-7075346,C,1,M,2020-06-29,392782,1,5745777017,2022-04-09,
C5741936957,C-9979820,C,1,F,1952-01-13,535382,1,5741936957,2005-07-08,
C5739481689,C-2061338,C,1,M,1981-11-06,687322,1,5739481689,1989-02-01,
C5719850515,C-5142731,C,1,F,1986-11-07,701568,1,5719850515,1990-09-24,
I5716930679,C-8804916,C,1,M,1972-06-25,559259,0,5716930679,2015-10-25,
C5713615690,C-1640253,C,1,F,1956-12-16,385284,1,5713615690,2021-01-06,
C5708801366,C-1656702,C,1,F,2021-02-27,832917,1,5708801366,2024-08-12,
C5706965358,C-6816633,C,1,M,1983-09-26,549262,1,5706965358,2021-04-03,
C5698392212,C-3480545,C,1,M,1953-07-25,483131,1,5698392212,2013-10-18,
C5697510391,C-8132851,C,1,M,2020-05-28,496534,1,5697510391,2024-05-24,
C5696720658,C-3447733,C,0,M,1952-11-29,246273,1,5696720658,1986-07-11,1987-03-24
C5696455139,C-4135242,C,1,M,1999-05-09,220470,1,5696455139,2003-03-20,
C5690253225,C-9296800,C,0,M,1964-04-17,272370,1,5690253225,1998-02-27,1999-01-26
C5690019581,C-5693345,C,1,F,1983-02-18,680343,1,5690019581,1989-04-30,
C5686664699,C-6039105,C,1,F,1979-03-23,686939,1,5686664699,1984-01-04,
C5682810804,C-7410108,C,1,M,1961-11-23,980233,1,5682810804,1993-04-14,
C5681588817,C-3383281,C,1,F,1973-05-06,853782,1,5681588817,1995-12-15,
C5670370831,C-6940389,C,1,M,1985-02-01,189788,1,5670370831,2022-02-12,
C5668223952,C-9190904,C,1,F,1958-08-26,889015,1,5668223952,2018-03-13,
C5650750177,C-7616118,C,0,M,1976-11-07,515288,1,5650750177,2005-03-23,2007-08-10
C5647440167,C-3140403,C,1,M,2013-06-19,983943,1,5647440167,2017-10-10,
C5644750604,C-7298020,C,0,M,1994-01-08,292730,1,5644750604,2012-12-18,2013-05-26
C5643038980,C-3742268,C,1,M,1953-08-16,389433,1,5643038980,2011-11-06,
O5640543288,C-4714196,C,1,M,1967-09-09,282944,0,5640543288,1997-12-16,
C5632343816,C-6498980,C,1,F,1956-01-24,167503,1,5632343816,1986-01-02,
C5630435224,C-4863681,C,1,M,1960-08-18,133500,1,5630435224,1984-09-20,
G5626202802,C-9041078,C,0,F,1957-05-26,649156,0,5626202802,1991-05-30,1992-04-14
C5621912759,C-9445649,C,1,M,1956-04-14,713413,1,5621912759,2014-06-21,
C5615396113,C-1620882,C,1,M,1989-12-31,467405,1,5615396113,1994-03-10,
C5611404796,C-1699528,C,0,M,1990-01-03,338488,1,5611404796,2021-01-20,2023-02-08
C5606390107,C-6910202,C,1,F,1999-07-06,811775,1,5606390107,2020-02-02,
H5602127350,C-5232813,C,0,M,1966-12-22,921404,0,5602127350,1994-03-15,1995-07-01
C5593517170,C-6259560,C,1,M,1975-09-20,250510,1,5593517170,2020-05-19,
B5588810858,C-8859406,C,1,F,1974-10-30,894540,0,5588810858,2007-01-18,
C5580888280,C-5141960,C,1,F,1994-12-07,861673,1,5580888280,2019-03-09,
C5576387297,C-2561352,C,0,M,1974-08-14,859236,1,5576387297,2003-12-31,2004-11-19
C5575628242,C-3471447,C,0,M,1998-11-12,675614,1,5575628242,2000-08-29,2002-09-04
C5575341468,C-6890782,C,1,F,2004-11-04,874475,1,5575341468,2006-11-09,
C5574502337,C-8721082,C,1,M,2012-05-31,415034,1,5574502337,2014-10-05,
C5570703502,C-7228209,C,1,F,2005-01-19,443759,1,5570703502,2014-05-14,
C5568608217,C-4578935,C,1,M,1987-08-27,684354,1,5568608217,2006-05-21,
C5561680425,C-3166436,C,1,M,2023-01-10,944678,1,5561680425,2027-05-19,
C5561479946,C-8909674,C,1,M,1971-05-01,941992,1,5561479946,2003-11-18,
C5559311704,C-6267007,C,1,M,1953-03-03,160686,1,5559311704,1981-01-02,
C5558999346,C-5235106,C,1,M,2014-05-07,450618,1,5558999346,2017-05-07,
C5558630517,C-1950364,C,1,F,1991-12-26,184796,1,5558630517,1994-01-20,
D9999307709,D-2741568,D,1,F,1987-07-10,607079,1,9999307709,1995-10-24,
D9998443564,D-2350437,D,1,F,1970-02-27,634148,1,9998443564,1995-02-02,
D9998204047,D-7898182,D,1,M,1975-01-12,358615,1,9998204047,2011-10-09,
D9992462341,D-5297441,D,1,M,2014-10-02,525768,1,9992462341,2018-02-21,
D9980481449,D-6567471,D,1,F,1950-11-11,573735,1,9980481449,2021-09-06,
D9975492255,D-3639872,D,1,M,1978-11-03,414643,1,9975492255,2021-10-19,
D9972006385,D-4263512,D,1,M,1992-11-09,808829,1,9972006385,1993-07-07,
D9964628738,D-5097483,D,1,M,1973-09-21,941337,1,9964628738,2021-02-24,
D9962577948,D-1884951,D,1,F,1971-11-23,111199,1,9962577948,1988-04-22,
D9959396692,D-9891172,D,0,M,2011-06-11,227376,1,9959396692,2013-03-11,2015-11-01
D9957443400,D-8593830,D,1,M,1986-10-21,205515,1,9957443400,2019-11-13,
D9955808223,D-7942760,D,1,F,2015-06-01,192610,1,9955808223,2020-09-25,
D9939538552,D-9548604,D,1,F,1960-02-17,568205,1,9939538552,1996-01-11,
P9935345297,D-3000149,D,1,M,1999-12-20,188686,0,9935345297,2020-06-26,
D9930722670,D-7753893,D,0,F,1958-07-22,757445,1,9930722670,1984-04-10,1986-02-15
D9930308643,D-6256734,D,0,M,2022-09-21,543856,1,9930308643,2024-04-27,2023-04-13
D9923010339,D-5338751,D,1,M,1977-03-21,387672,1,9923010339,2003-08-18,
D9921942018,D-9812019,D,0,F,1976-08-01,911019,1,9921942018,2018-08-14,2019-05-03
D9921818890,D-8154207,D,1,M,1993-08-15,900131,1,9921818890,2008-03-19,
D9918014886,D-7963193,D,1,M,1954-02-19,301793,1,9918014886,2021-04-20,
D9912629773,D-1684603,D,1,M,1967-07-12,854307,1,9912629773,2016-09-01,
D9908785345,D-4570988,D,1,F,1954-06-10,306024,1,9908785345,1986-12-04,
D9906693563,D-9617065,D,1,M,2021-01-30,777926,1,9906693563,2023-05-28,
D9903448513,D-8219142,D,0,F,2014-11-07,727724,1,9903448513,2017-04-07,2018-06-15
D9900833039,D-3954466,D,1,M,1972-01-24,319776,1,9900833039,1999-02-25,
D9900796796,D-7387552,D,1,M,1959-10-05,696135,1,9900796796,2006-05-02,
D9899488217,D-2382910,D,1,M,1999-08-15,853051,1,9899488217,2014-09-12,
D9898006186,D-8579705,D,0,M,1951-12-22,274298,1,9898006186,1995-03-15,1996-10-10
D9897405165,D-1988157,D,1,M,1965-03-11,450076,1,9897405165,1996-10-01,
D9896337964,D-6303750,D,1,F,1961-08-11,983800,1,9896337964,2017-03-11,
D9891065147,D-4777988,D,0,M,1968-08-13,469821,1,9891065147,2010-10-21,2013-01-14
D9886455664,D-2007779,D,1,M,2008-04-06,460846,1,9886455664,2017-06-07,
D9884287744,D-4627778,D,1,M,1968-05-29,356748,1,9884287744,2005-05-14,
J9876037771,D-6571790,D,1,M,2010-12-06,215474,0,9876037771,2014-08-06,
D9873335615,D-5705300,D,1,M,1959-11-21,605544,1,9873335615,2000-09-29,
D9869163384,D-7254078,D,1,M,1975-02-12,836625,1,9869163384,2011-03-05,
D9863669307,D-6190397,D,1,F,1988-08-16,523628,1,9863669307,2007-06-27,
D9861291522,D-3211347,D,1,M,2012-06-02,188288,1,9861291522,2014-05-14,
D9857973467,D-2970150,D,1,F,1965-08-11,578562,1,9857973467,1988-10-04,
F9853928417,D-6548722,D,1,M,1956-05-10,688177,0,9853928417,1994-03-30,
D9845161507,D-9380221,D,1,M,2005-03-15,282908,1,9845161507,2010-07-10,
D9843063362,D-2218228,D,1,M,1988-02-15,533364,1,9843063362,1992-01-12,
D9839640302,D-8827303,D,1,F,1973-03-21,833623,1,9839640302,2018-05-26,
D9837385931,D-1313453,D,1,M,1997-12-03,567879,1,9837385931,2003-07-02,
F9836942390,D-9050853,D,1,F,1989-08-27,955324,0,9836942390,2022-03-23,
D9830064150,D-3581485,D,1,F,1995-02-06,850334,1,9830064150,2000-06-18,
D9829701024,D-8677039,D,0,F,2005-11-12,688814,1,9829701024,2019-05-24,2021-10-05
D9825091410,D-5741524,D,1,M,2004-04-09,561794,1,9825091410,2011-01-23,
D9821020462,D-7268604,D,1,F,2002-06-29,367185,1,9821020462,2005-02-24,
F9814968364,D-6086974,D,1,F,2012-12-24,626498,0,9814968364,2021-04-03,
D9814826086,D-4375077,D,1,M,1956-06-04,692686,1,9814826086,2011-04-28,
D9814530220,D-2137885,D,0,M,1957-02-26,980367,1,9814530220,1980-09-29,1981-07-11
D9807544019,D-7831664,D,1,M,1985-07-29,930069,1,9807544019,1987-02-28,
D9804978884,D-1488403,D,1,M,2008-01-27,974845,1,9804978884,2010-04-14,
D9804664217,D-4091650,D,0,F,2002-08-27,702710,1,9804664217,2004-12-08,2005-06-03
D9803234070,D-5320161,D,0,M,1971-11-24,698942,1,9803234070,2021-02-17,2021-10-07
D9801987834,D-9644156,D,1,M,1999-07-05,520903,1,9801987834,2020-02-26,
D9801543000,D-1312211,D,1,M,1996-02-12,844489,1,9801543000,2000-02-06,
D9788374141,D-5806970,D,1,F,1980-07-23,802676,1,9788374141,2003-11-19,
D9785202581,D-7830273,D,1,F,1957-05-22,931092,1,9785202581,1991-05-21,
D9779581306,D-3204534,D,1,M,2013-04-20,394475,1,9779581306,2017-08-28,
A9766523132,D-4756635,D,1,F,2022-09-15,714335,0,9766523132,2025-05-08,
D9765753674,D-3237635,D,0,F,1996-03-02,576870,1,9765753674,1997-11-10,1999-12-29
D9753040780,D-1721546,D,1,M,2015-10-10,419838,1,9753040780,2019-12-14,
D9743396315,D-1956697,D,1,M,2011-11-08,722239,1,9743396315,2014-01-21,
D9742586352,D-5129893,D,1,M,1950-08-02,178817,1,9742586352,2019-02-25,
D9739950668,D-2504912,D,1,M,2009-08-04,678952,1,9739950668,2010-08-29,
D9738007908,D-5726047,D,1,F,2019-12-18,233024,1,9738007908,2024-02-19,
D9733780474,D-5844075,D,1,M,1975-09-28,413431,1,9733780474,1980-05-12,
D9727300758,D-8513114,D,1,M,1953-11-27,363102,1,9727300758,2001-03-25,
D9722534934,D-7750689,D,1,F,1962-01-11,597227,1,9722534934,2005-03-08,
D9715845177,D-6749551,D,0,M,1974-10-08,826783,1,9715845177,1992-08-29,1994-05-24
D9715043131,D-3580663,D,1,F,1985-08-25,502520,1,9715043131,2010-01-09,
D9709785114,D-2776414,D,1,M,1975-05-10,711487,1,9709785114,1983-08-07,
D9708068057,D-2590438,D,1,M,2014-04-14,148649,1,9708068057,2015-09-25,
D9706220538,D-4416037,D,1,F,1978-11-14,600598,1,9706220538,2008-10-30,
D9705369704,D-2509230,D,1,M,1983-08-29,262578,1,9705369704,2016-12-23,
D9704522749,D-9920409,D,1,F,1965-10-20,626257,1,9704522749,1987-04-30,
M9699847086,D-4293850,D,1,F,2015-09-22,441553,0,9699847086,2018-04-18,
D9699246143,D-5598786,D,1,M,2011-01-29,992362,1,9699246143,2011-05-20,
D9698411284,D-3534830,D,1,F,2000-06-05,501215,1,9698411284,2004-03-05,
D9694076254,D-3388442,D,1,M,1992-04-15,681134,1,9694076254,1996-02-29,
D9692350102,D-3890866,D,1,F,2007-04-27,208870,1,9692350102,2017-01-29,
D9685161890,D-6265620,D,1,F,2000-09-30,770469,1,9685161890,2014-08-24,
D9683138789,D-6774524,D,1,M,2002-03-22,396816,1,9683138789,2018-12-08,
D9682319374,D-6269997,D,1,M,1967-06-25,238711,1,9682319374,2000-09-15,
D9676639200,D-8482449,D,1,M,2000-10-25,690076,1,9676639200,2012-09-13,
D9672006088,D-1297999,D,1,M,1973-09-11,454391,1,9672006088,2018-09-15,
I9671046545,D-1243369,D,1,F,2019-02-06,388801,0,9671046545,2021-03-10,
D9669974967,D-6643690,D,1,F,1975-05-07,724467,1,9669974967,2012-07-22,
D9666359654,D-1240457,D,1,F,2006-07-20,542734,1,9666359654,2008-09-21,
D9662903054,D-4519640,D,1,M,1972-11-07,881885,1,9662903054,1996-11-11,
D9661368444,D-7121782,D,1,F,2011-05-21,343422,1,9661368444,2013-02-05,
E9659119584,D-3816858,D,1,F,1959-03-29,446590,0,9659119584,2002-03-13,
D9650294374,D-3685530,D,1,F,2001-07-07,575948,1,9650294374,2005-10-13,
D9648103925,D-7196124,D,1,F,1986-09-15,118212,1,9648103925,2006-10-12,
D9617925350,D-9455810,D,1,F,2020-08-25,621332,1,9617925350,2025-03-13,
D9608224192,D-6064473,D,1,F,1970-10-14,468543,1,9608224192,2021-11-01,
D9604361866,D-2213614,D,0,M,2000-12-17,919115,1,9604361866,2003-05-09,2005-10-25
D9602742307,D-7562584,D,1,M,1997-12-15,228014,1,9602742307,2009-08-02,
F9602284455,D-4385160,D,1,F,1977-03-05,813526,0,9602284455,2021-05-12,
D9599374588,D-5384377,D,1,M,1994-01-27,834078,1,9599374588,2007-05-30,
D9598048765,D-8112355,D,1,F,1959-10-16,745207,1,9598048765,2001-04-28,
D9596392894,D-6509834,D,1,F,1976-08-29,363656,1,9596392894,1992-10-13,
D9594233379,D-4404286,D,1,F,1989-10-06,452097,1,9594233379,2002-12-14,
D9588703132,D-1262172,D,1,M,2005-02-20,296548,1,9588703132,2009-01-14,
D9586818027,D-8350471,D,0,F,1959-08-26,921418,1,9586818027,2000-03-29,2001-04-02
D9582203845,D-5855101,D,1,M,1972-11-23,869847,1,9582203845,2011-02-19,
D9580084773,D-3850189,D,1,M,1977-05-10,582584,1,9580084773,1998-06-29,
D9574079610,D-1349617,D,1,M,1960-10-16,289702,1,9574079610,1985-04-24,
F9572646216,D-3759744,D,1,M,2019-08-17,892096,0,9572646216,2020-08-31,
D9570848874,D-9736869,D,1,M,2005-02-18,856265,1,9570848874,2009-11-27,
D9564870646,D-4313819,D,0,F,1988-05-18,390865,1,9564870646,2019-11-12,2021-02-20
D9564384561,D-2650358,D,1,F,1968-01-07,375660,1,9564384561,2011-11-05,
D9556910768,D-1443425,D,1,M,2019-05-28,983660,1,9556910768,2024-07-02,
D9553010931,D-6274967,D,1,M,1982-09-17,602878,1,9553010931,1987-05-23,
D9548842750,D-8276320,D,1,M,1978-06-26,552127,1,9548842750,1989-10-18,
B9547625357,D-9367529,D,1,M,1955-08-04,867492,0,9547625357,2015-11-15,
I9541745819,D-7703014,D,1,F,1957-09-11,614375,0,9541745819,2013-06-29,
D9539794999,D-9405621,D,1,M,2001-04-30,414357,1,9539794999,2009-01-19,
D9538176808,D-3531504,D,1,F,1970-04-20,399688,1,9538176808,2001-02-04,
D9537274581,D-4141239,D,1,M,2006-08-03,356075,1,9537274581,2011-10-19,
D9534909658,D-4501685,D,1,M,1996-05-11,429281,1,9534909658,2015-12-02,
D9534867545,D-9935138,D,1,M,1959-11-18,968932,1,9534867545,2020-05-20,
D9528780784,D-6551035,D,1,M,2006-08-17,458726,1,9528780784,2007-12-07,
D9528241455,D-2468528,D,0,M,1966-05-03,675628,1,9528241455,2020-12-10,2022-01-02
D9526996905,D-2314125,D,1,M,1966-01-29,969968,1,9526996905,2001-03-17,
B9524340969,D-3277987,D,1,F,1955-03-03,540771,0,9524340969,2011-03-06,
D9503111803,D-2279618,D,1,F,1992-01-20,575584,1,9503111803,2015-08-23,
D9500971143,D-3399348,D,1,F,1984-10-27,551968,1,9500971143,2022-06-24,
D9500111630,D-6773698,D,0,F,1991-10-23,811721,1,9500111630,1997-02-16,1997-06-04
C9498152136,D-3184355,D,0,F,1967-08-03,923915,0,9498152136,2000-05-05,2002-11-25
M9496906472,D-9930407,D,1,F,1961-05-07,992390,0,9496906472,1987-04-06,
D9495139973,D-4144563,D,1,M,2015-08-20,823294,1,9495139973,2020-05-28,
D9493814106,D-7388201,D,1,F,1900-01-01,332070,1,9493814106,2012-01-24,
D9486986342,D-4562768,D,1,M,1958-03-17,377366,1,9486986342,1993-11-26,
D9481045009,D-9673840,D,1,F,2018-12-21,449882,1,9481045009,2021-10-18,
D9473066243,D-7054967,D,1,M,1987-08-14,558240,1,9473066243,1990-08-15,
D9470320752,D-7843640,D,1,M,1992-01-28,424872,1,9470320752,2018-03-16,
D9470084116,D-7811374,D,1,F,1962-08-23,549559,1,9470084116,2020-08-11,
D9466388842,D-9855545,D,1,F,1972-03-05,855020,1,9466388842,2004-10-11,
D9465858158,D-2624412,D,1,M,1959-12-12,618818,1,9465858158,2020-07-02,
