CUSTOMERID,CardAccountNumber,CardNumber,isActive
B-3687234,BFFS5250,2954-8757-978-718,1
B-3693008,MQBL4430,2954-9998-5466-3214,1
B-3696057,VTEZ2397,2954-8757-3384-9376,1
B-3711948,FNTC1151,2954-4925-9137-4254,1
B-3715141,NJNU3441,2954-2688-540-6490,1
B-3727417,LIWC1221,2954-7257-5286-2073,1
B-3732645,HQND6696,2954-9870-9055-8217,1
B-3741220,DHRX6696,2954-8102-390-7734,1
B-3743854,CNBC2419,2954-6050-7880-9188,1
B-3753684,NSQR6825,2954-6570-1064-3322,1
B-3782532,SAWU5911,2954-918-4365-9527,1
B-3782532,SAWU5911,2954-3369-5381-6345,0
B-3785793,KWED8785,2954-5200-2219-5799,1
B-3786129,KVZR6806,2954-7772-3445-9844,1
B-3790694,JTJA8663,2954-3599-6616-6485,1
B-3813726,AUDH9010,2954-150-5900-71,1
B-3813734,RPMV8256,2954-4464-3526-9654,1
B-3816791,ARYE5177,2954-8182-860-3451,1
B-3820883,GCUR3250,2954-3078-4266-4232,1
B-3821998,IKSE8812,2954-9190-8901-2770,1
B-3822751,GETQ8430,2954-809-4337-2447,1
B-3824407,WFTX6727,2954-1172-4119-9795,1
B-3826614,RMRY8703,2954-2330-484-5975,1
B-3829212,RKWI3103,2954-7690-5708-2161,1
B-3829341,SZWF6150,2954-7408-9175-6509,1
B-3832846,QNPO9116,2954-4922-1859-3655,1
B-3832984,OTJM2905,2954-8960-2511-8415,1
B-3837695,PGJK2381,2954-4223-8593-7502,1
B-3838091,OSHV9770,2954-2586-1142-3885,1
B-3843412,XHQY7873,2954-961-2309-9113,1
B-3854324,FXEL4899,2954-9887-9440-4759,1
B-3861617,PIRC3561,2954-6760-8973-1753,1
B-3862032,PGPH3063,2954-5132-1651-6928,1
B-3871856,XALR8618,2954-8451-2035-8862,1
B-3913162,JFUD5432,2954-8716-452-5782,1
B-3917476,VBRU7366,2954-218-4332-1813,1
B-3924203,YCPO5453,2954-3293-2271-2275,1
B-3928507,WXED9676,2954-5459-5990-4156,1
B-3939232,JXOK6271,2954-429-909-7397,1
B-3967190,UCBS2118,2954-6218-5636-8438,1
B-3982982,ZHEH7525,2954-2567-5444-4574,1
B-3988007,EZCD3870,2954-8355-7252-5225,1
B-3991718,EBLC1271,2954-9600-7775-4210,1
B-3997233,KYKJ5386,2954-7087-3262-6087,1
B-4015841,OXNP4720,2954-978-7813-7643,1
B-4023140,MFHB1196,2954-91-8727-20,1
B-4025332,KQQW5720,2954-6011-5191-8313,1
B-4025599,ZWNZ1566,2954-7142-252-9781,1
B-4027085,FFNI8165,2954-3857-2836-9813,1
B-4038255,TZMR8848,2954-9666-6775-778,1
B-4040665,MWTS1580,2954-9983-184-9111,1
B-4059311,PJPD7571,2954-5177-1830-3058,1
B-4065780,YULR5003,2954-3224-7452-6648,1
B-4065934,DPPH1721,2954-1276-6829-5503,1
B-4070823,VBLR3502,2954-2905-7165-5111,1
B-4073711,PRTE4373,2954-9835-5318-1859,1
B-4077887,PZJU4379,2954-2448-357-917,1
B-4087110,KFAJ4050,2954-8048-4803-1051,1
B-4088635,BELD9384,2954-3159-3698-1342,1
B-4132697,IPZJ5367,2954-1496-4092-9560,1
B-4144912,EIAT8371,2954-1045-8046-7918,1
B-4146989,AIEE6085,2954-7964-1766-9611,1
B-4149080,DMQW8422,2954-6227-9237-8714,1
B-4149458,RVAI3631,2954-3821-7434-5464,1
B-4162795,VGJB3167,2954-4062-2663-6701,1
B-4167348,NSPO7362,2954-9264-2927-9769,1
B-4167600,STPQ8301,2954-3630-8421-2274,1
B-4179410,DNTD5605,2954-7274-5035-6946,1
B-4187956,TEZG1969,2954-3424-8626-3820,1
B-4189011,RJCS9286,2954-8210-5566-2105,1
B-4191663,BFSC9003,2954-3792-264-7969,1
B-4207313,FYWT7414,2954-8007-6140-7942,1
B-4210913,DBAX9995,2954-8437-7735-7268,1
B-4216536,LEYG1630,2954-3941-245-4984,1
B-4218327,SEJW3727,2954-8542-5211-69,1
B-4235881,XQFP3576,2954-9579-5567-3389,1
B-4243505,HJBL4714,2954-2674-4643-1587,1
B-4250472,WIRA6518,2954-6117-2228-1303,1
B-4267606,CZMQ1957,2954-523-4373-7732,1
B-4269152,JLMD4677,2954-7364-5241-937,1
B-4269286,HGAG6422,2954-8494-2772-7803,1
B-4271326,CUJF6683,2954-1924-2173-463,1
B-4279292,OOFV5937,2954-7830-3522-8002,1
B-4280485,WQQI4132,2954-7487-7983-6490,1
B-4281710,RINZ7019,2954-9380-5748-8857,1
B-4281783,RWEA8080,2954-439-2638-8009,1
B-4290867,BHKR9849,2954-8997-9397-8375,1
B-4292817,TIDK3794,2954-5220-848-9373,1
B-4299941,WDAP2940,2954-3997-7429-6421,1
B-4302807,SLOV2682,2954-3798-4937-3808,1
B-4303533,HBWM6346,2954-2352-1818-2498,1
B-4304847,QRLB5075,2954-2327-7170-9051,1
B-4329108,JTTD8035,2954-5372-3249-8468,1
B-4333605,AMAB2403,2954-2678-1401-7359,1
B-4338086,YIVW9144,2954-200-3029-7471,1
B-4353479,YOMN9872,2954-2071-8059-2495,1
B-4356040,DWZG8415,2954-1856-2980-1391,1
B-4364850,TVYS3345,2954-1468-7662-7943,1
B-4368352,KNXP4803,2954-7963-6934-6903,1
B-4373349,XEZI2732,2954-3950-7455-504,1
B-4389091,PLYW1533,2954-7411-1311-2560,1
B-4397440,WVFD6351,2954-5218-4646-3035,1
B-4402765,NHPS1523,2954-4621-8996-8331,1
B-4417428,HVVI9455,2954-4716-6939-3307,1
B-4421932,SBPB9561,2954-697-2696-2595,1
B-4427914,WFKG4382,2954-4062-7138-5238,1
B-4428140,JSMC9292,2954-4787-2688-3197,1
B-4431624,ESKL4734,2954-6623-3797-8091,1
B-4439052,JCKD6872,2954-5535-4483-4532,1
B-4445284,RNOH4936,2954-206-3850-1744,1
B-4446712,UKUI5917,2954-2374-879-5248,1
B-4455685,CLTN5120,2954-3002-2405-9989,1
B-4461430,PGOJ2648,2954-3446-8476-7023,1
B-4475834,PHUN2742,2954-7015-7040-2023,1
B-4480018,FUGC5057,2954-6752-8396-3980,1
B-4483697,BHOI2254,2954-5755-4933-2136,1
B-4487196,QKOL7203,2954-3688-8320-6365,1
B-4491087,HCEX7925,2954-8057-5603-3884,1
B-4492116,ZSOC9242,2954-3267-7717-2223,1
B-4506170,ICJJ1976,2954-3647-8089-3238,1
B-4507552,SBAZ4565,2954-416-8895-9230,1
B-4512972,HQQF3386,2954-4575-6051-6404,1
B-4513993,KOVN7396,2954-5258-1658-9022,1
B-4520951,ZUYX6290,2954-2789-7828-3939,1
B-4522702,BNXJ2957,2954-3058-8855-5019,1
B-4542263,OOOP1630,2954-9572-6597-4926,1
B-4554521,IPVN9661,2954-6931-6554-6792,1
B-4557998,KFWK9469,2954-8718-9011-5887,1
B-4559540,AMLO9535,2954-9671-9426-4547,1
B-4561512,PQLX4299,2954-1909-131-7862,1
B-4563212,HBOG4702,2954-8693-236-8204,1
B-4563572,LVUO3967,2954-536-6813-9147,1
B-4565925,KPKM1500,2954-9940-5216-4762,1
B-4568937,CPYP1840,2954-3778-1959-8750,1
B-4573061,MPXF8649,2954-4781-5399-634,1
B-4586309,APZG7940,2954-2204-8483-5704,1
B-4598010,LXPH3821,2954-3185-9096-7698,1
B-4603796,LEIR9750,2954-2033-9890-7536,1
B-4620195,XZPB4405,2954-7025-2870-5709,1
B-4628710,FNYW5273,2954-3596-7074-2468,1
B-4633978,GNLR8035,2954-2623-7542-1458,1
B-4639889,AFZN1841,2954-3312-5747-7564,1
B-4645381,AKML7001,2954-5219-9912-6872,1
B-4649775,BIFJ1936,2954-2969-9620-7402,1
B-4677427,JGEL7155,2954-9945-7966-9259,1
B-4701451,ONMA9014,2954-363-453-2239,1
B-4701918,QNCC3882,2954-1391-3616-5241,1
B-4703603,IGQQ3019,2954-1924-8409-9714,1
B-4708025,JBVI2202,2954-8014-6885-6134,1
B-4732441,IZDA9931,2954-5100-3061-2358,1
B-4734738,IKAX5375,2954-9479-9232-9104,1
B-4735829,CFRW3703,2954-881-5001-6283,1
B-4738520,TRGV3152,2954-3372-6141-5614,1
B-4754583,HAXW4372,2954-4127-8552-771,1
B-4766275,QRRD3227,2954-4610-3970-1560,1
B-4775984,HNDQ9987,2954-409-1445-9300,1
B-4780235,IXTH7740,2954-8262-6069-7651,1
B-4783710,LLQO6511,2954-5270-7355-1908,1
B-4789866,ERAD2822,2954-7882-6990-915,1
B-4792134,BVUL1973,2954-9290-1395-9410,1
B-4795524,DQLH9493,2954-3865-5728-1296,1
B-4810763,XFHS3806,2954-4405-6393-5180,1
B-4827904,RQWL1439,2954-9490-5649-1348,1
B-4831782,GIZL7004,2954-283-3723-1319,1
B-4841287,HMFP2824,2954-2203-6370-8160,1
B-4841287,HMFP2824,2954-6688-6593-7,0
B-4852610,IKFG9930,2954-6950-9428-6470,1
B-4875529,JNVL2256,2954-7921-7208-3391,1
B-4875529,JNVL2256,2954-1675-417-361,0
B-4877654,EOSL3579,2954-5336-4048-3993,1
B-4880647,EBIM8327,2954-4268-983-9893,1
B-4882563,TJCG2173,2954-9526-8832-7366,1
B-4889726,CTMU7683,2954-3420-321-5905,1
B-4890726,CADS2137,2954-7372-8500-3786,1
B-4892254,LWDM5890,2954-2919-2068-7059,1
B-4892745,YBYD7886,2954-9893-1366-5095,1
B-4899101,NRZC2590,2954-869-5694-7419,1
B-4899101,NRZC2590,2954-4842-1716-2300,0
B-4901363,QSKD5451,2954-2005-8998-597,1
B-4910828,HIWM6728,2954-4367-9357-252,1
B-4913448,EGWR7867,2954-9681-7641-6409,1
B-4915633,YCFV8565,2954-8566-2708-6271,1
B-4917726,ZXFF5745,2954-6648-9062-3748,1
B-4917875,UJPI1191,2954-8054-5998-2234,1
B-4920023,IKSI4329,2954-865-8347-1561,1
B-4938679,GWPR3070,2954-99-8978-790,1
B-4941883,GCHY8061,2954-1880-4131-2265,1
B-4954863,BAWG3463,2954-1700-4874-1767,1
B-4955006,CZAP6492,2954-6501-6873-7319,1
B-4958169,APUP5808,2954-1916-2850-6088,1
B-4962387,ASVI9093,2954-6057-6846-9118,1
B-4963627,LVQQ8471,2954-259-2819-4952,1
B-4971664,EUPM3088,2954-4044-2182-6351,1
B-4983008,LKXD5126,2954-4177-1716-8651,1
B-4991332,BSNI8502,2954-7063-9883-7380,1
B-4997359,PLGL6076,2954-2182-3986-5922,1
B-5003273,SBBO4622,2954-479-7439-6171,1
B-5023344,NNFT5533,2954-4479-1354-5837,1
B-5026399,YHDZ1163,2954-6129-6450-4821,1
B-5032410,ZCTT9782,2954-6402-1764-9813,1
B-5057161,ZSSI3808,2954-5610-7271-7337,1
B-5058649,LZWE2718,2954-6075-119-3718,1
B-5060665,QJHG3515,2954-3023-2178-2587,1
B-5061048,CJWC6415,2954-556-1468-5310,1
B-5061048,CJWC6415,2954-895-5657-8265,0
B-5072882,LCEN6558,2954-9050-4329-739,1
B-5079264,HBWQ1751,2954-2054-397-5249,1
B-5085805,BAXS7874,2954-2929-5923-1435,1
B-5085947,PAUQ8827,2954-688-4162-868,1
B-5100981,OHNL2961,2954-6307-2423-5853,1
B-5120759,BIFO6647,2954-478-2053-7459,1
B-5121672,BWXW3272,2954-668-3342-4013,1
B-5146324,CBTB3148,2954-6070-5520-3318,1
B-5159423,ICIN2600,2954-9167-7514-7778,1
B-5165580,XJHS6861,2954-4749-1185-4790,1
B-5168500,HNTO5300,2954-9307-5943-4763,1
B-5170681,RPWJ6242,2954-3575-3890-3345,1
B-5175862,RGEK1371,2954-9268-5295-4239,1
B-5177355,IIQL6139,2954-6193-415-5633,1
B-5178093,BFPP3478,2954-5889-9059-6168,1
B-5183911,BDYS2950,2954-8481-4477-3622,1
B-5191636,AWKY2312,2954-6900-4749-8885,1
B-5218442,IBLO3315,2954-9448-4501-1681,1
B-5228124,FPMK4496,2954-8133-3534-3445,1
B-5228124,FPMK4496,2954-2106-5079-7655,0
B-5232563,GQXV3596,2954-6418-7674-9758,1
B-5236648,ALSZ8850,2954-4877-2503-5933,1
B-5243748,RXNA3291,2954-4461-9061-9880,1
B-5258749,COLW9009,2954-2123-235-749,1
B-5269333,SYKO7603,2954-559-2360-1631,1
B-5273667,XBWL8601,2954-5709-4208-2176,1
B-5277134,WZLZ7589,2954-5964-7851-8488,1
B-5281199,FBIN5954,2954-8995-9130-1045,1
B-5281427,AIRX6896,2954-4322-8161-797,1
B-5286021,EXVZ3994,2954-1433-3049-3465,1
B-5289442,PILM5899,2954-9909-5757-6905,1
B-5290094,GCUJ3196,2954-5027-9712-9478,1
B-5293893,KWSL8285,2954-5447-8388-5322,1
B-5296063,WYGE5863,2954-6979-9626-5270,1
B-5296670,PYJN1283,2954-3404-9696-9056,1
B-5306803,RKWT4376,2954-6341-251-8274,1
B-5308375,IKOX5486,2954-1197-6054-7460,1
B-5314016,LTYS8119,2954-6572-7398-8297,1
B-5320012,IYAT1881,2954-2682-1595-7522,1
B-5333188,TSQO2054,2954-3602-3378-6457,1
B-5340910,ZPBD7789,2954-6271-8536-2914,1
B-5356818,XNGB8703,2954-9833-78-3194,1
B-5368786,WLKB1418,2954-7897-7997-5369,1
B-5416279,SSHC2941,2954-2688-6832-6309,1
B-5424676,CCBK2965,2954-728-3697-3432,1
B-5428502,QGWZ6218,2954-8704-8983-6572,1
B-5429533,TLOP5428,2954-8287-91-9178,1
B-5433948,ALMU5907,2954-5620-3288-8491,1
B-5448872,NBUV1192,2954-6190-1464-1881,1
B-5449726,XWVG1305,2954-8834-8328-5504,1
B-5452262,GMNS4855,2954-2515-718-9468,1
B-5460924,OCKF7831,2954-4721-4931-9077,1
B-5461775,BRPQ5796,2954-6043-2233-4893,1
B-5462863,PNJX6826,2954-7285-8904-4797,1
B-5464744,YYXQ1990,2954-9258-9584-1163,1
B-5471013,AIZH7670,2954-5611-2840-792,1
B-5474171,UBKL6946,2954-1454-6291-1428,1
B-5477869,XFXM5910,2954-9520-6549-2780,1
B-5484069,KDOT2948,2954-6329-9400-1303,1
B-5522446,UJWV4846,2954-7663-960-1617,1
B-5544474,NGUG3024,2954-8354-3269-2865,1
B-5548841,AIUU5053,2954-3467-173-9883,1
B-5556737,ELRG1382,2954-8192-1577-2095,1
B-5558672,JLOH1634,2954-4678-4166-2058,1
B-5566627,UDUN2818,2954-9768-1216-400,1
B-5570939,FAUA3832,2954-9922-5369-2434,1
B-5580382,VXWZ7762,2954-6800-3744-195,1
B-5586652,BWJD7945,2954-9588-5863-8750,1
B-5593643,DIFX1509,2954-5225-1841-1945,1
B-5595682,KTNG3421,2954-3056-7355-5015,1
B-5598812,RAPQ3653,2954-2559-9046-8458,1
B-5600056,NYPA2234,2954-8058-4533-3402,1
B-5607285,AFXW6765,2954-9686-7303-2871,1
B-5628165,CSBM5366,2954-2964-4718-2119,1
B-5630145,MWTE4025,2954-9666-6113-9067,1
B-5630436,VYDN7807,2954-3897-8157-2008,1
B-5635247,KCMT9736,2954-410-5140-6448,1
B-5636386,RABG9804,2954-2343-9730-6738,1
B-5650050,JDDI5233,2954-5873-5910-5057,1
B-5659469,HJIL5206,2954-2069-729-3386,1
B-5668136,IDBT8593,2954-6803-9170-6332,1
B-5677760,NEDS1574,2954-8473-7416-4563,1
B-5679004,ZMIO5411,2954-9138-4743-4280,1
B-5690349,TSXH3927,2954-989-4289-9431,1
B-5704344,LLDE4623,2954-9447-3830-2260,1
B-5704585,BIZU6794,2954-6063-9865-4158,1
B-5713970,ZZUA7064,2954-8140-5520-8975,1
B-5728361,QCGR7418,2954-7465-2092-900,1
B-5751805,BRYV9309,2954-6705-1207-2195,1
B-5759240,AIHQ3163,2954-8074-7011-1831,1
B-5761861,KAXN2250,2954-6571-1638-5138,1
B-5767217,GALU8342,2954-6211-9740-1584,1
B-5769413,GZAJ8272,2954-1057-5634-8405,1
B-5770525,KUKE2621,2954-3767-7897-9847,1
B-5770680,OGPD7502,2954-7185-2603-7423,1
B-5772089,OVVW5550,2954-7835-4394-1403,1
B-5777506,RHZS8061,2954-9781-6210-8416,1
B-5779237,KTYV4656,2954-795-4726-4012,1
B-5780871,RRWK3759,2954-7566-1211-1093,1
B-5790317,ZHJM2180,2954-8160-45-8149,1
B-5791361,KVEL7513,2954-39-5681-8193,1
B-5791710,FLFN5706,2954-904-2490-4090,1
B-5792905,YMNL2181,2954-3811-4531-974,1
B-5808836,LPKA7102,2954-835-1253-963,1
B-5813546,UHFW2025,2954-1747-3779-2536,1
B-5815126,VSLB8527,2954-8947-1102-4366,1
B-5815169,IUNN6411,2954-6091-6467-2630,1
B-5816311,RUNN7571,2954-3029-7969-5211,1
B-5816473,CFZW6878,2954-2286-7904-7720,1
B-5818740,XUCQ6901,2954-9321-7436-2603,1
B-5824878,FXRQ3703,2954-5975-726-2937,1
B-5832192,HDIW8508,2954-5344-8701-894,1
B-5842166,QOYY2368,2954-5991-7283-753,1
B-5855346,GXXG7567,2954-6473-8263-537,1
B-5855412,JREL8985,2954-1317-9844-6875,1
B-5861055,EFTA5500,2954-2708-8231-151,1
B-5861642,BWJW1557,2954-9179-5007-5821,1
B-5861651,CEUK5848,2954-6211-7316-1685,1
B-5862584,CNHZ4128,2954-1807-7283-4327,1
B-5869752,MQQE9234,2954-9282-6332-2973,1
B-5876520,FKUV5593,2954-8399-4243-6173,1
B-5877796,XCBH5526,2954-1236-4609-6442,1
B-5891103,QCIY8977,2954-1429-1397-6393,1
B-5909981,HNRO3375,2954-8679-1535-5032,1
B-5920768,SNBD4285,2954-4479-5191-6678,1
B-5943844,LUYP3621,2954-286-2310-4298,1
B-5944693,IDIU6380,2954-9833-4681-9895,1
B-5958386,OXPH8350,2954-8963-4526-9965,1
B-5960139,HYVM6778,2954-9149-308-7366,1
B-5970409,LTUM6894,2954-2698-9929-9058,1
B-5972788,ZGDF5396,2954-4233-9876-4393,1
B-5973679,SUTP8420,2954-3461-3802-3906,1
B-5977546,NBDR4341,2954-9138-1042-8746,1
B-5980132,UKZR2294,2954-2289-883-2719,1
B-5980166,RRZH5630,2954-6068-116-7637,1
B-5986912,HEKF6701,2954-7458-625-5111,1
B-5988842,CYPK2238,2954-1111-3398-288,1
B-6002704,OGIK7820,2954-5275-703-6188,1
B-6014765,SVAX3099,2954-3776-2325-7114,1
B-6017978,AOBR1240,2954-3878-9222-2430,1
B-6018019,EVIL2812,2954-4967-600-3128,1
B-6018511,IGYI5281,2954-7665-2059-8398,1
B-6033600,HXVY9208,2954-8973-9176-7762,1
B-6033942,EMAI4413,2954-7015-4840-3868,1
B-6053830,WOIX3335,2954-4205-8731-2412,1
B-6063364,CWCB3858,2954-9279-1954-2140,1
B-6069202,NBHN8336,2954-9809-8722-5725,1
B-6073573,KWTJ3988,2954-1476-2417-4071,1
B-6103189,GWVH9729,2954-9922-860-7135,1
B-6103661,PWGS2620,2954-93-7873-3566,1
B-6111108,ARUZ8829,2954-7913-8958-1702,1
B-6113216,QTPO5123,2954-1691-517-8994,1
B-6119692,JKTF1471,2954-247-4245-2370,1
B-6120197,YNQA7588,2954-4077-5041-3807,1
B-6122071,GJDJ5019,2954-9893-8194-3637,1
B-6135178,WBXT3311,2954-8108-7752-5279,1
B-6136516,DRGK9489,2954-6411-8464-5298,1
B-6143128,VOKV4204,2954-8926-8414-5725,1
B-6158158,XQHF4511,2954-3707-6216-1533,1
B-6171808,OCFN4804,2954-2115-9693-6936,1
B-6183996,VPNT5432,2954-4663-9902-2686,1
B-6184536,XFGY4931,2954-3425-645-947,1
B-6194623,ZEIZ7529,2954-2990-593-1220,1
B-6200935,DDXC4295,2954-6510-8881-3668,1
B-6202282,EMLA9193,2954-3567-3080-7786,1
B-6209114,YHVH5647,2954-9858-5579-9649,1
B-6221346,VWKS6395,2954-9015-4455-7067,1
B-6228427,EVAI1573,2954-5070-1263-2594,1
B-6230083,CMYN9501,2954-9054-8790-5058,1
B-6232246,RZPJ2824,2954-9076-4316-4522,1
B-6234212,OODO8252,2954-8377-1045-1642,1
B-6234741,BCHV7287,2954-9822-8034-9758,1
B-6242689,ACHB2348,2954-3565-657-7920,1
B-6253148,ZHEE6086,2954-2670-5212-3191,1
B-6258768,RQPH6871,2954-73-925-4702,1
B-6265859,QJYY9689,2954-6711-3544-467,1
B-6273446,OBAT2954,2954-6928-5273-1411,1
B-6274210,LENQ5817,2954-7051-2186-5020,1
B-6277413,GORY9223,2954-6388-4239-6319,1
B-6293910,OZEZ5037,2954-2666-3093-494,1
B-6299161,PLCY6406,2954-6490-9585-1994,1
B-6330764,DHOU3448,2954-9311-3058-4134,1
B-6334542,XFFJ7671,2954-7905-428-6887,1
B-6338897,MZWQ9476,2954-345-1480-2611,1
B-6342946,IXVM3078,2954-5773-6593-6479,1
B-6344505,DDAZ8028,2954-3561-8394-9307,1
B-6363279,GAAP1849,2954-6519-2363-6178,1
B-6368250,KBHN9964,2954-5654-8145-3963,1
B-6369405,TRRN3908,2954-1283-8153-9887,1
B-6374004,CLBD7368,2954-7096-7561-6279,1
B-6377600,AUEQ5373,2954-3758-611-9575,1
B-6394155,UJAI6367,2954-3081-3779-1131,1
B-6402942,NYJF1654,2954-327-1581-3299,1
B-6404497,VPCK9544,2954-3458-7925-2485,1
B-6408924,WIUA3503,2954-8074-5540-1508,1
B-6410482,QFVB8395,2954-6246-8304-696,1
B-6410902,KNHZ7567,2954-7675-5674-622,1
B-6417975,VPPZ6165,2954-5092-9617-9986,1
B-6422337,JHMM1356,2954-9092-4871-4141,1
B-6433439,GFBN7096,2954-4397-431-5649,1
B-6440680,NPED3620,2954-8789-2039-6609,1
B-6445880,RFWK8336,2954-1661-9617-2051,1
B-6456099,SVPW9591,2954-4585-4135-6601,1
B-6456779,RQOT3540,2954-3018-5552-95,1
B-6457050,HIGD9459,2954-5418-9697-9268,1
B-6465877,MUGZ7558,2954-6573-3544-4836,1
B-6465996,HMMN2765,2954-7272-2096-9218,1
B-6466003,AOMR4289,2954-8856-4908-3186,1
B-6469267,OIOQ6514,2954-1483-9146-7815,1
B-6487614,UMSE6849,2954-4266-9421-487,1
B-6511211,NNSZ3052,2954-1360-1546-9794,1
B-6513039,FURO8396,2954-5343-1386-3326,1
B-6516601,BQHH2481,2954-7985-9170-6405,1
B-6520498,KZOL2066,2954-2636-1413-6778,1
B-6524700,ALFU7596,2954-2752-2001-4346,1
B-6524700,ALFU7596,2954-3428-2826-6731,0
B-6553696,XAAU3687,2954-6974-7998-4585,1
B-6556478,MPLR9727,2954-7688-7797-3587,1
B-6562433,KANO5264,2954-8224-4232-2554,1
B-6567359,QLQZ3370,2954-9043-3044-7964,1
B-6578932,SCXI4572,2954-2063-4214-4873,1
B-6583630,FBFK7765,2954-9026-4657-6956,1
B-6583894,FDMF6145,2954-4495-5365-658,1
B-6585314,UCDB5204,2954-2116-6841-6814,1
B-6594665,POVA7535,2954-2400-5747-301,1
B-6603270,WMWM3258,2954-5166-4754-2598,1
B-6607464,LNEW7657,2954-3022-806-3446,1
B-6618019,AXEW2181,2954-570-1668-3592,1
B-6624814,QUMA6295,2954-6826-1553-2133,1
B-6628259,MGHX2411,2954-4790-7860-3513,1
B-6628818,RLPA1170,2954-9351-2158-1622,1
B-6629483,KLFJ3563,2954-6696-2649-8590,1
B-6651760,FMKR9157,2954-7250-2831-7774,1
B-6659041,RVQE9771,2954-5867-5859-804,1
B-6666485,ZHIC7846,2954-364-34-8338,1
B-6667235,HLGK4496,2954-6405-8384-9688,1
B-6672859,JGCF4693,2954-1204-1442-2236,1
B-6677655,HRYB8490,2954-2994-5214-3051,1
B-6699616,FOJF7368,2954-4534-2881-3716,1
B-6701069,TXKJ4447,2954-2833-9894-6044,1
B-6712422,SLYV9837,2954-5034-6012-511,1
B-6715693,ZTMW2748,2954-7442-9908-9723,1
B-6733203,CCVP8508,2954-8944-6664-9886,1
B-6746680,FTMQ7454,2954-5011-5750-3981,1
B-6750270,SEQL4306,2954-7327-2259-8920,1
B-6753857,AJER3797,2954-982-5388-3014,1
B-6757284,CSBL9109,2954-1183-38-6371,1
B-6774079,WUUD6998,2954-1524-734-22,1
B-6780054,KLYP2411,2954-4706-6093-6290,1
B-6787183,TRGL1470,2954-4822-9672-8022,1
B-6794245,ESCA1498,2954-4917-685-8094,1
B-6794519,CBXA1888,2954-2234-550-9061,1
B-6795771,CQYR7761,2954-3323-3543-1415,1
B-6798230,TQBF9478,2954-4368-9267-7586,1
B-6803978,DGQX1633,2954-2155-8137-5625,1
B-6835428,AODU9574,2954-1015-4746-7567,1
B-6865823,USXB7406,2954-4993-942-7967,1
B-6869954,CEQL9506,2954-4635-373-7613,1
B-6886615,MCGZ6347,2954-4579-916-699,1
B-6889232,QDGW7864,2954-2273-7079-5021,1
B-6891434,PBEJ4018,2954-7319-7686-8942,1
B-6891638,RFAP5484,2954-5189-2644-6967,1
B-6896096,DDRC9719,2954-7286-269-9314,1
B-6896577,BQWQ7797,2954-5181-8478-2551,1
B-6901160,LLSX5363,2954-9093-798-2743,1
B-6904626,SDFD9484,2954-6059-6513-756,1
B-6920333,APXZ5890,2954-6462-3672-6966,1
B-6923477,BWRD9439,2954-8072-9108-609,1
B-6930575,ODUF8820,2954-5048-9469-1125,1
B-6931072,GRVB7671,2954-6881-396-9659,1
B-6931186,WARJ7226,2954-693-3825-9842,1
B-6941604,BNRU4146,2954-4572-3243-3073,1
B-6941779,SLLQ3117,2954-9221-4441-525,1
B-6943805,GUJN9128,2954-3051-5276-1042,1
B-6964248,DJOL2001,2954-9018-383-5612,1
B-6966485,MQMU1916,2954-9117-3654-9019,1
B-6969376,ADFF3828,2954-3651-1652-936,1
B-6990939,FJOD8782,2954-1198-7761-74,1
B-6991655,IJIM2149,2954-3225-8489-5350,1
B-6998921,VTIR2279,2954-7421-8719-6563,1
B-7002331,WJLR4378,2954-7867-2378-1676,1
B-7002777,WIVL6459,2954-8218-6731-3749,1
B-7037038,ORQN4984,2954-6008-7904-904,1
B-7051541,BIXC9389,2954-6153-7163-9818,1
B-7060434,XJDG9768,2954-1968-8306-6975,1
B-7075757,GFGA3561,2954-9855-2511-202,1
B-7080339,TQQI2484,2954-1837-5677-7341,1
B-7081058,AVXP9419,2954-192-6665-2939,1
B-7084167,AHSQ8990,2954-6056-1435-2009,1
B-7103640,VGAI6464,2954-9568-4328-3029,1
B-7103939,KLBP5416,2954-7660-1070-6704,1
B-7110988,TNUX5322,2954-9903-9304-6605,1
B-7122035,TRXS8663,2954-1040-38-4198,1
B-7135984,OKXW7872,2954-3360-66-6530,1
B-7136474,NPGX8866,2954-513-2261-2932,1
B-7152225,DPFD3791,2954-5920-961-3777,1
B-7159294,FSCD1779,2954-5209-2686-890,1
B-7160511,KFJT2989,2954-9411-1561-5753,1
B-7164919,FRIE7278,2954-3628-7238-6518,1
B-7181592,ZYYM5660,2954-9283-1832-720,1
B-7220070,NDHJ5233,2954-5268-9240-2880,1
B-7221444,ELSS6725,2954-1805-7098-2195,1
B-7222104,QOZQ2649,2954-474-1582-841,1
B-7225980,YNWB4084,2954-4234-919-1326,1
B-7241340,VYHX7901,2954-7645-8874-5892,1
B-7245812,FADG3950,2954-7372-153-5010,1
B-7251637,GSYK6912,2954-8865-4965-7768,1
B-7252381,JQGV8718,2954-2363-3352-5413,1
B-7253939,TZRI2703,2954-454-4743-6228,1
B-7260532,TWPO3689,2954-9502-4445-5377,1
B-7264083,IZIH9815,2954-4807-133-8292,1
B-7268478,HPHL9631,2954-6132-8547-8284,1
B-7276594,RHAN2925,2954-4446-8769-9013,1
B-7277540,ORXH4226,2954-570-2315-7719,1
B-7278427,RDUG6812,2954-6616-5788-9091,1
B-7278966,DECW8667,2954-839-4129-8228,1
B-7288467,XRHX9059,2954-6801-4914-1789,1
